Problem name: gauci_problem
	C++ class name: gauci_problem

	Global dimension:			2
	Integer dimension:			0
	Fitness dimension:			1
	Number of objectives:			1
	Equality constraints dimension:		0
	Inequality constraints dimension:	0
	Lower bounds: [-1, -1]
	Upper bounds: [1, 1]
	Has batch fitness evaluation: false

	Has gradient: false
	User implemented gradient sparsity: false
	Has hessians: false
	User implemented hessians sparsity: false

	Fitness evaluations: 0

	Thread safety: basic

CMAES 4 PaGMO: 
mu: CMAES 4 PaGMO: 5 - lambda: 10 - mueff: 
3.1673 - N: 2mu: 
CMAES 4 PaGMO: CMAES 4 PaGMO: 5
mu:  - lambda: 10 - mueff: 5 - lambda: 10 - mueff: cc: 
0.609083 - cs: 0.508227 - c1: 0.142275 - cmu: 0.154745 - sigma: 0.5 - damps: mu: 1.50823 - chiN: 3.16735 - lambda: 10 - mueff:  - N: 3.1673 - N: 3.16732 - N: 
2
cc: 0.609083 - cs: 1.254270.508227 - c1: 0.142275 - cmu: 
2
cc: 0.609083 - cs: 0.154745 - sigma: 0.5 - damps: 1.50823 - chiN: cc: 1.25427
0.508227 - c1: 0.142275 - cmu: 0.154745 - sigma: 0.5 - damps: 1.50823 - chiN: 1.25427
0.609083 - cs: 0.508227 - c1: 0.142275 - cmu: 0.154745 - sigma: 0.5 - damps: 1.50823 - chiN: 1.25427


   Gen:      
Gen:        Fevals:        Fevals:          Best:            dx:            df:         sigma:
      1          Best:            dx:            df:         sigma:              
   Gen:        Fevals:          Best:            dx:            df:         sigma:

1      0      1              0    1.03482e+090       0.747463       1.04562e+09Gen:     2.9212e+08    1.06194e+09       0.747463    2.48253e+08            0.5
0.5
        Fevals:          Best:            dx:            df:       0.747463    2.59505e+08            0.5
         sigma:
     40            390     1.0606e+09        1.03186    1.47363e+08       0.680071
     40            390    1.07145e+09       0.232035    1.57883e+08       0.617438
     40            390    1.04343e+09       0.446603    1.66221e+08       0.441789
     41            400    1.08196e+09       0.104956    1.57459e+08       0.841515
     41            400    1.07219e+09       0.234746     1.4221e+08       0.927253
     41            400    1.09811e+09       0.162316    1.20442e+08        0.74176
     41            400    1.01401e+09      0.0524552    1.80634e+08       0.429534
     42            410    1.07569e+09        1.33817    1.97137e+08       0.854363
     42            410    1.08837e+09        2.45083    1.33481e+08       0.752712
     42            410    1.03523e+09        0.62631    1.93193e+08       0.797819
     42            410    1.09783e+09       0.798356    1.51741e+08       0.394394
     43            420    1.04366e+09        1.01075    1.62569e+08       0.892375
     43            420    1.04011e+09         1.5383    1.07161e+08       0.650557
     43            420    1.05037e+09       0.515553    1.22889e+08        0.98651
     43            420    1.04454e+09       0.561555    1.33307e+08       0.380785
     44            430    1.05093e+09        1.08759    1.46701e+08        1.01054
     44            430    1.05797e+09        1.49809    2.03951e+08       0.593636
     44            430    1.11283e+09       0.419659    1.16903e+08       0.771561
     44            430    1.04751e+09       0.936851    1.80418e+08       0.579127
     45            440    1.06766e+09       0.603425    1.27861e+08        1.34032
     45            440    1.06229e+09       0.506915    1.40921e+08       0.574678
     45            440    1.09275e+09       0.313947    1.16457e+08       0.852038
     45            440    1.08342e+09       0.258145    8.41565e+07       0.521698
     46            450    1.13476e+09       0.860017    1.82919e+08        1.31312
     46            450     1.1132e+09       0.335735    1.73373e+08       0.904254
     46            450    1.08556e+09       0.533174    1.82411e+08       0.540784
     46            450     1.1491e+09       0.730674     1.2425e+08       0.511665
     47            460     1.1401e+09       0.884949    1.71788e+08        1.27476
     47            460     1.1216e+09       0.343197    1.57686e+08        0.68558
     47            460    1.13723e+09        0.42891     1.4418e+08       0.418039
     47            460    1.23546e+09       0.695353    9.88643e+07       0.465924
     48            470    1.21823e+09       0.184489    7.67839e+07        1.14202
     48            470    1.20048e+09      0.0850451    9.38338e+07       0.632735
     48            470    1.15318e+09       0.106076    1.39554e+08       0.485195
     48            470    1.11935e+09       0.176794    2.15143e+08       0.513082
     49            480    1.08512e+09        0.79269    1.61165e+08        1.41551
     49            480    1.09917e+09       0.184006    1.61038e+08       0.645645
     49            480    1.11483e+09       0.572617    1.81601e+08        0.49277
     49            480    1.12088e+09       0.436697     1.8471e+08       0.518646
     50            490    1.05891e+09       0.772026    3.16883e+08        1.48162
     50            490    1.06886e+09       0.177983      2.984e+08       0.816344
     50            490     1.0607e+09       0.470993    2.20476e+08       0.505866
     50            490    1.04708e+09       0.314064    2.55674e+08       0.492803
Exit condition -- generations = 50
Exit condition -- generations = 50
Exit condition -- generations = 50
Exit condition -- generations = 50
Champion decision vector: 0.337154,  0.299767,  , fitness: 9.94698e+08
Champion decision vector: -0.522644,  0.885897,  , fitness: 9.28466e+08
Champion decision vector: -0.250416,  1.68031,  , fitness: 9.67321e+08
Champion decision vector: -2.31365,  3.25462,  , fitness: 9.5022e+08
